Date,Month,Quarter,Year,Department,Region,Product_Category,Cost_Center,Revenue,COGS,Operating_Expenses,Depreciation,Interest_Expense,Tax_Expense,Budgeted_Revenue,Budgeted_Expense,Accounts_Receivable,Accounts_Payable,Cash_Balance
2024-11-01,Nov,Q4,2024,Sales,North America,Core Subscription,SAL-NO-01,211354.67,52083.11,66607.24,7397.41,2545.69,19853.09,212594.13,110548.95,310618.5,73337.76,245757.03
2024-12-01,Dec,Q4,2024,Sales,North America,Core Subscription,SAL-NO-01,217561.96,52583.6,68804.07,7614.67,2015.99,20770.47,215570.45,112096.64,300981.02,79439.35,241771.13
2025-01-01,Jan,Q1,2025,Sales,North America,Core Subscription,SAL-NO-01,187118.7,39353.86,65887.07,6549.15,4250.45,17058.76,218588.44,113665.99,266726.38,72743.72,242007.92
2025-02-01,Feb,Q1,2025,Sales,North America,Core Subscription,SAL-NO-01,238999.92,56482.25,67069.83,8365.0,4777.9,24553.19,221648.68,115257.31,326682.89,73781.14,246417.13
2025-03-01,Mar,Q1,2025,Sales,North America,Core Subscription,SAL-NO-01,236581.56,61462.95,69382.58,8280.35,3972.43,22435.98,224751.76,116870.91,334823.43,73671.28,247884.67
2025-04-01,Apr,Q2,2025,Sales,North America,Core Subscription,SAL-NO-01,212339.46,47648.74,63690.69,7431.88,1866.22,22008.46,227898.28,118507.11,310031.28,72713.08,248891.98
2025-05-01,May,Q2,2025,Sales,North America,Core Subscription,SAL-NO-01,236437.67,48484.48,79042.43,8275.32,5019.63,22947.79,231088.86,120166.21,317297.34,86824.86,257521.29
2025-06-01,Jun,Q2,2025,Sales,North America,Core Subscription,SAL-NO-01,243505.2,53824.74,66582.15,8522.68,2701.19,26849.87,234324.1,121848.53,353603.79,72677.42,259557.89
2025-07-01,Jul,Q3,2025,Sales,North America,Core Subscription,SAL-NO-01,241472.48,58964.19,70173.95,8451.54,2859.84,24245.51,237604.64,123554.41,354800.56,78348.27,254796.33
2025-08-01,Aug,Q3,2025,Sales,North America,Core Subscription,SAL-NO-01,246998.18,56893.5,73864.32,8644.94,2582.39,25203.13,240931.11,125284.17,336122.64,77765.04,261591.15
2025-09-01,Sep,Q3,2025,Sales,North America,Core Subscription,SAL-NO-01,237720.53,49783.12,79960.57,8320.22,2040.91,23427.77,244304.14,127038.15,324089.31,89442.9,263258.6
2025-10-01,Oct,Q4,2025,Sales,North America,Core Subscription,SAL-NO-01,254800.84,62149.65,69917.46,8918.03,4545.49,26224.85,247724.4,128816.69,345677.44,73809.23,265888.15
2025-11-01,Nov,Q4,2025,Sales,North America,Core Subscription,SAL-NO-01,238030.26,54464.42,67748.45,8331.06,4089.44,24815.25,251192.54,130620.12,349376.8,71530.57,262988.47
2025-12-01,Dec,Q4,2025,Sales,North America,Core Subscription,SAL-NO-01,262035.18,60205.69,73911.9,9171.23,3234.4,27722.87,254709.24,132448.8,358725.2,79268.94,269379.43
2024-01-01,Jan,Q1,2024,Customer Success,North America,Add-on Services,CUS-NO-02,55649.55,19694.69,14478.46,1669.49,5197.56,3506.24,62000.0,35960.0,72858.07,15157.49,263706.62
2024-02-01,Feb,Q1,2024,Customer Success,North America,Add-on Services,CUS-NO-02,59632.61,20965.38,16333.69,1788.98,1999.36,4450.85,62620.0,36319.6,74620.47,17126.38,269963.48
2024-03-01,Mar,Q1,2024,Customer Success,North America,Add-on Services,CUS-NO-02,62665.29,23490.59,13966.18,1879.96,5054.88,4385.68,63246.2,36682.8,83308.5,14044.07,270425.84
2024-04-01,Apr,Q2,2024,Customer Success,North America,Add-on Services,CUS-NO-02,61881.07,20097.16,18244.36,1856.43,4343.12,4161.6,63878.66,37049.62,74911.63,18397.94,268281.0
2024-05-01,May,Q2,2024,Customer Success,North America,Add-on Services,CUS-NO-02,57573.33,19534.57,17839.78,1727.2,2072.38,3935.86,64517.45,37420.12,70635.06,18009.32,267574.92
2024-06-01,Jun,Q2,2024,Customer Success,North America,Add-on Services,CUS-NO-02,62822.5,23286.49,17521.56,1884.67,3905.9,3893.73,65162.62,37794.32,78932.4,17668.17,275833.66
2024-07-01,Jul,Q3,2024,Customer Success,North America,Add-on Services,CUS-NO-02,57444.29,19148.16,16761.72,1723.33,2611.53,4127.89,65814.25,38172.26,72004.48,17049.5,275450.81
2024-08-01,Aug,Q3,2024,Customer Success,North America,Add-on Services,CUS-NO-02,69503.85,23637.63,14632.78,2085.12,5186.73,5750.78,66472.39,38553.99,84281.27,14213.05,281688.36
2024-09-01,Sep,Q3,2024,Customer Success,North America,Add-on Services,CUS-NO-02,66317.79,25620.12,17755.18,1989.53,3056.39,4295.18,67137.12,38939.53,81127.52,18347.75,280585.06
2024-10-01,Oct,Q4,2024,Customer Success,North America,Add-on Services,CUS-NO-02,62895.84,23211.32,16560.76,1886.88,2817.89,4420.56,67808.49,39328.92,80969.75,17287.66,282215.64
2024-11-01,Nov,Q4,2024,Customer Success,North America,Add-on Services,CUS-NO-02,69726.54,24223.08,18008.02,2091.8,2725.98,5442.64,68486.57,39722.21,89246.14,18399.9,285645.56
2024-12-01,Dec,Q4,2024,Customer Success,North America,Add-on Services,CUS-NO-02,74339.5,25124.35,18634.35,2230.18,2113.81,6296.83,69171.44,40119.43,93443.73,18218.21,280595.0
2025-01-01,Jan,Q1,2025,Customer Success,North America,Add-on Services,CUS-NO-02,76460.18,26054.96,15915.4,2293.81,4320.19,6690.2,69863.15,40520.63,97350.08,15800.31,283933.01
2025-02-01,Feb,Q1,2025,Customer Success,North America,Add-on Services,CUS-NO-02,70654.99,26292.86,14481.22,2119.65,3780.53,5755.38,70561.78,40925.83,86346.89,13941.72,282024.94
2025-03-01,Mar,Q1,2025,Customer Success,North America,Add-on Services,CUS-NO-02,68263.3,25939.21,17401.63,2047.9,4856.34,4324.37,71267.4,41335.09,83959.97,16965.77,290992.85
2025-04-01,Apr,Q2,2025,Customer Success,North America,Add-on Services,CUS-NO-02,76127.39,27044.09,16194.09,2283.82,4961.6,6154.51,71980.08,41748.44,99943.85,16965.26,289838.05
2025-05-01,May,Q2,2025,Customer Success,North America,Add-on Services,CUS-NO-02,75776.64,22859.86,19869.36,2273.3,2929.43,6682.73,72699.88,42165.93,100118.88,20469.88,297945.38
2025-06-01,Jun,Q2,2025,Customer Success,North America,Add-on Services,CUS-NO-02,67870.87,22824.34,20670.21,2036.13,4719.22,4229.03,73426.87,42587.59,83583.54,21324.6,306729.42
2025-07-01,Jul,Q3,2025,Customer Success,North America,Add-on Services,CUS-NO-02,70788.09,24366.18,17911.05,2123.64,1880.46,5881.62,74161.14,43013.46,86913.36,17603.45,318498.72
2025-08-01,Aug,Q3,2025,Customer Success,North America,Add-on Services,CUS-NO-02,66806.31,22365.88,19400.58,2004.19,3623.13,4659.01,74902.75,43443.6,88338.21,18654.32,330354.02
2025-09-01,Sep,Q3,2025,Customer Success,North America,Add-on Services,CUS-NO-02,78216.57,26412.2,19259.09,2346.5,2168.57,6727.25,75651.78,43878.03,98426.02,19699.25,328161.99
2025-10-01,Oct,Q4,2025,Customer Success,North America,Add-on Services,CUS-NO-02,81692.53,26168.05,18044.03,2450.78,4209.87,7396.75,76408.3,44316.81,98320.85,18811.94,327145.19
2025-11-01,Nov,Q4,2025,Customer Success,North America,Add-on Services,CUS-NO-02,70601.85,23466.0,17994.15,2118.06,3038.35,5756.47,77172.38,44759.98,85583.33,18289.68,325711.37
2025-12-01,Dec,Q4,2025,Customer Success,North America,Add-on Services,CUS-NO-02,81202.82,29105.33,16609.99,2436.08,3188.54,7167.09,77944.11,45207.58,101853.03,16270.57,332340.38
2024-01-01,Jan,Q1,2024,Sales,Europe,Core Subscription,SAL-EU-03,125722.98,33035.37,37357.51,4400.3,3892.75,11288.89,142000.0,75260.0,193045.39,45043.91,194071.79
2024-02-01,Feb,Q1,2024,Sales,Europe,Core Subscription,SAL-EU-03,143578.56,31037.62,42836.73,5025.25,3303.34,14730.15,143562.0,76087.86,218499.75,51266.24,191262.08
2024-03-01,Mar,Q1,2024,Sales,Europe,Core Subscription,SAL-EU-03,156718.67,34361.01,42917.65,5485.15,3552.54,16896.56,145141.18,76924.83,248789.96,50652.38,194686.25
2024-04-01,Apr,Q2,2024,Sales,Europe,Core Subscription,SAL-EU-03,134502.15,31385.75,40744.64,4707.58,2632.46,13207.61,146737.74,77771.0,210196.11,50603.56,196287.06
2024-05-01,May,Q2,2024,Sales,Europe,Core Subscription,SAL-EU-03,155924.95,38847.37,41385.01,5457.37,4167.6,15856.22,148351.85,78626.48,244145.07,48390.59,196841.8
2024-06-01,Jun,Q2,2024,Sales,Europe,Core Subscription,SAL-EU-03,149261.01,35853.66,38826.82,5224.14,2398.01,16070.01,149983.72,79491.37,244551.43,46675.85,200200.73
2024-07-01,Jul,Q3,2024,Sales,Europe,Core Subscription,SAL-EU-03,157636.06,38573.39,45293.76,5517.26,4524.82,15294.44,151633.54,80365.78,251101.71,57004.33,192910.09
2024-08-01,Aug,Q3,2024,Sales,Europe,Core Subscription,SAL-EU-03,141651.01,37024.81,41652.42,4957.79,4623.94,12814.09,153301.51,81249.8,222982.29,51968.27,189192.66
2024-09-01,Sep,Q3,2024,Sales,Europe,Core Subscription,SAL-EU-03,154602.35,33598.9,45317.38,5411.08,3968.05,15913.67,154987.83,82143.55,248648.63,54496.69,187829.21
2024-10-01,Oct,Q4,2024,Sales,Europe,Core Subscription,SAL-EU-03,151756.38,38622.13,46560.1,5311.47,3636.52,13830.28,156692.69,83047.13,229153.95,54370.62,191847.28
2024-11-01,Nov,Q4,2024,Sales,Europe,Core Subscription,SAL-EU-03,153710.93,32372.93,49217.32,5379.88,3644.88,15143.02,158416.31,83960.65,238785.52,57329.32,185318.29
2024-12-01,Dec,Q4,2024,Sales,Europe,Core Subscription,SAL-EU-03,169348.05,36132.31,44654.08,5927.18,3093.3,19089.88,160158.89,84884.21,252202.78,52790.55,181113.53
2025-01-01,Jan,Q1,2025,Sales,Europe,Core Subscription,SAL-EU-03,162301.7,32592.4,49962.15,5680.56,4341.55,16734.01,161920.64,85817.94,255445.68,60573.63,182307.26
2025-02-01,Feb,Q1,2025,Sales,Europe,Core Subscription,SAL-EU-03,169930.91,40024.67,47228.52,5947.58,3174.68,17653.31,163701.77,86761.94,257307.74,56489.41,187748.62
2025-03-01,Mar,Q1,2025,Sales,Europe,Core Subscription,SAL-EU-03,174334.38,45336.83,51391.11,6101.7,3718.93,16268.59,165502.49,87716.32,260207.89,62549.66,191249.52
2025-04-01,Apr,Q2,2025,Sales,Europe,Core Subscription,SAL-EU-03,175035.56,45257.14,49696.57,6126.24,4388.18,16696.18,167323.01,88681.2,270907.75,61138.77,195319.33
2025-05-01,May,Q2,2025,Sales,Europe,Core Subscription,SAL-EU-03,172656.26,39145.64,49712.65,6042.97,3634.02,17789.04,169163.57,89656.69,284017.05,58760.12,192102.52
2025-06-01,Jun,Q2,2025,Sales,Europe,Core Subscription,SAL-EU-03,157748.45,34800.15,45351.21,5521.2,1869.29,16849.58,171024.37,90642.91,238548.24,52387.29,192073.26
2025-07-01,Jul,Q3,2025,Sales,Europe,Core Subscription,SAL-EU-03,166966.3,36308.64,52381.84,5843.82,4407.45,16325.89,172905.63,91639.99,252890.55,63532.35,192816.86
2025-08-01,Aug,Q3,2025,Sales,Europe,Core Subscription,SAL-EU-03,170065.84,44526.32,42608.99,5952.3,2860.65,17788.22,174807.6,92648.03,271161.66,53473.46,194140.68
2025-09-01,Sep,Q3,2025,Sales,Europe,Core Subscription,SAL-EU-03,164463.36,42622.6,56652.42,5756.22,3932.62,13319.88,176730.48,93667.15,247401.88,69835.31,198016.37
2025-10-01,Oct,Q4,2025,Sales,Europe,Core Subscription,SAL-EU-03,167920.37,47289.21,59057.84,5877.21,3256.49,12585.51,178674.51,94697.49,259670.29,70911.65,195227.43
2025-11-01,Nov,Q4,2025,Sales,Europe,Core Subscription,SAL-EU-03,170152.03,46401.51,52796.41,5955.32,5066.68,14383.71,180639.93,95739.17,270185.83,65438.24,194901.7
2025-12-01,Dec,Q4,2025,Sales,Europe,Core Subscription,SAL-EU-03,172269.67,40436.1,43384.59,6029.44,3629.79,18909.54,182626.97,96792.3,269443.77,51726.1,202708.91
2024-01-01,Jan,Q1,2024,Marketing,Europe,Professional Services,MAR-EU-04,45429.94,25386.92,15284.48,1272.04,4797.55,0.0,46000.0,39100.0,81154.91,17261.28,235854.9
2024-02-01,Feb,Q1,2024,Marketing,Europe,Professional Services,MAR-EU-04,44732.82,24978.37,15677.61,1252.52,4512.63,0.0,46322.0,39373.7,80700.79,18443.71,239761.41
2024-03-01,Mar,Q1,2024,Marketing,Europe,Professional Services,MAR-EU-04,46023.33,23226.48,17698.74,1288.65,2091.08,412.41,46646.25,39649.32,86233.01,20035.66,241097.09
2024-04-01,Apr,Q2,2024,Marketing,Europe,Professional Services,MAR-EU-04,43020.67,21762.53,14660.63,1204.58,2553.43,681.48,46972.78,39926.86,80383.88,16293.38,240007.37
2024-05-01,May,Q2,2024,Marketing,Europe,Professional Services,MAR-EU-04,44734.18,22765.08,14587.61,1252.56,4336.18,430.26,47301.59,40206.35,80624.94,16868.0,240488.71
2024-06-01,Jun,Q2,2024,Marketing,Europe,Professional Services,MAR-EU-04,49609.16,26268.01,16366.55,1389.06,4391.44,286.58,47632.7,40487.79,88086.56,18022.69,245517.97
2024-07-01,Jul,Q3,2024,Marketing,Europe,Professional Services,MAR-EU-04,43750.38,22889.48,16940.66,1225.01,2762.2,0.0,47966.13,40771.21,77004.89,18612.14,246935.5
2024-08-01,Aug,Q3,2024,Marketing,Europe,Professional Services,MAR-EU-04,49955.99,27207.16,15946.53,1398.77,3681.42,413.31,48301.89,41056.61,93394.05,17397.32,261131.51
2024-09-01,Sep,Q3,2024,Marketing,Europe,Professional Services,MAR-EU-04,50745.88,25520.43,16698.9,1420.88,3395.95,890.33,48640.0,41344.0,92480.27,18328.06,273961.98
2024-10-01,Oct,Q4,2024,Marketing,Europe,Professional Services,MAR-EU-04,51014.11,24649.89,16339.04,1428.4,3940.12,1117.6,48980.48,41633.41,89350.96,17867.98,276313.7
2024-11-01,Nov,Q4,2024,Marketing,Europe,Professional Services,MAR-EU-04,47192.19,24230.95,16766.87,1321.38,4399.11,113.73,49323.35,41924.84,87438.86,19554.93,278441.53
2024-12-01,Dec,Q4,2024,Marketing,Europe,Professional Services,MAR-EU-04,52951.8,26444.63,17205.21,1482.65,2838.29,1195.44,49668.61,42218.32,98253.21,19713.01,266540.04
2025-01-01,Jan,Q1,2025,Marketing,Europe,Professional Services,MAR-EU-04,49600.57,23387.92,16852.21,1388.82,4045.46,942.28,50016.29,42513.85,87815.85,18476.18,267953.82
2025-02-01,Feb,Q1,2025,Marketing,Europe,Professional Services,MAR-EU-04,50458.54,24948.77,16987.16,1412.84,4203.65,697.47,50366.4,42811.44,94385.11,19163.62,272784.5
2025-03-01,Mar,Q1,2025,Marketing,Europe,Professional Services,MAR-EU-04,48291.77,23087.01,16723.19,1352.17,4048.02,739.53,50718.97,43111.12,92374.39,18811.06,266302.53
2025-04-01,Apr,Q2,2025,Marketing,Europe,Professional Services,MAR-EU-04,49952.77,27544.51,15942.45,1398.68,2845.88,533.1,51074.0,43412.9,93860.04,18193.15,268759.43
2025-05-01,May,Q2,2025,Marketing,Europe,Professional Services,MAR-EU-04,51081.32,27073.36,16019.69,1430.28,5005.1,372.69,51431.52,43716.79,93653.51,18144.38,271175.92
2025-06-01,Jun,Q2,2025,Marketing,Europe,Professional Services,MAR-EU-04,52184.93,26298.17,17469.43,1461.18,5070.5,452.56,51791.54,44022.81,98886.57,19947.57,274634.23
2025-07-01,Jul,Q3,2025,Marketing,Europe,Professional Services,MAR-EU-04,62916.77,31208.41,16646.41,1761.67,1936.79,2727.24,52154.08,44330.97,118303.41,18810.28,268639.84
2025-08-01,Aug,Q3,2025,Marketing,Europe,Professional Services,MAR-EU-04,47281.35,25109.89,18382.93,1323.88,2110.22,85.06,52519.16,44641.29,85364.56,20486.7,265031.32
2025-09-01,Sep,Q3,2025,Marketing,Europe,Professional Services,MAR-EU-04,50123.61,24328.61,17007.86,1403.46,2779.94,1104.9,52886.79,44953.78,95984.31,19879.99,260539.67
2025-10-01,Oct,Q4,2025,Marketing,Europe,Professional Services,MAR-EU-04,52258.11,26809.97,18716.37,1463.23,3549.63,412.54,53257.0,45268.45,100483.04,21546.31,260594.23
2025-11-01,Nov,Q4,2025,Marketing,Europe,Professional Services,MAR-EU-04,50692.37,26083.18,18323.93,1419.39,4371.91,118.55,53629.8,45585.33,94101.51,21307.05,263529.33
2025-12-01,Dec,Q4,2025,Marketing,Europe,Professional Services,MAR-EU-04,57596.27,31061.39,17270.42,1612.7,5108.7,610.33,54005.21,45904.43,106742.77,19062.87,262042.12
2024-01-01,Jan,Q1,2024,Sales,APAC,Core Subscription,SAL-AP-05,84976.15,21417.24,33790.62,2719.24,4903.96,5314.82,91000.0,51870.0,141080.92,43330.69,195674.76
2024-02-01,Feb,Q1,2024,Sales,APAC,Core Subscription,SAL-AP-05,87518.53,22320.02,26471.93,2800.59,5132.83,7390.36,92729.0,52855.53,142126.17,35476.85,203802.8
2024-03-01,Mar,Q1,2024,Sales,APAC,Core Subscription,SAL-AP-05,85757.6,24883.86,25370.33,2744.24,4737.69,6725.16,94490.85,53859.79,139731.25,34808.11,196433.94
2024-04-01,Apr,Q2,2024,Sales,APAC,Core Subscription,SAL-AP-05,102579.7,22872.45,29598.45,3282.55,3795.59,10327.36,96286.18,54883.12,179495.71,39423.72,200458.06
2024-05-01,May,Q2,2024,Sales,APAC,Core Subscription,SAL-AP-05,102108.41,28589.78,29472.54,3267.47,3647.66,8911.43,98115.61,55925.9,169420.73,38596.36,203590.9
2024-06-01,Jun,Q2,2024,Sales,APAC,Core Subscription,SAL-AP-05,107859.34,26627.41,30379.63,3451.5,4332.0,10336.51,99979.81,56988.49,183454.86,41767.57,203204.41
2024-07-01,Jul,Q3,2024,Sales,APAC,Core Subscription,SAL-AP-05,95637.42,26718.73,32750.03,3060.4,3484.12,7109.79,101879.43,58071.27,152015.99,43676.71,197094.62
2024-08-01,Aug,Q3,2024,Sales,APAC,Core Subscription,SAL-AP-05,97627.41,26863.03,30092.55,3124.08,4256.31,7989.95,103815.14,59174.63,161247.59,40744.44,197175.9
2024-09-01,Sep,Q3,2024,Sales,APAC,Core Subscription,SAL-AP-05,109491.73,30501.62,34590.99,3503.74,4155.2,8817.64,105787.62,60298.95,185220.53,47743.71,202648.02
2024-10-01,Oct,Q4,2024,Sales,APAC,Core Subscription,SAL-AP-05,98400.01,24332.01,34533.48,3148.8,4766.1,7588.71,107797.59,61444.63,156388.76,44057.45,196749.05
2024-11-01,Nov,Q4,2024,Sales,APAC,Core Subscription,SAL-AP-05,100601.72,22829.79,37677.66,3219.26,3275.5,8063.88,109845.74,62612.07,160936.65,50908.79,200503.17
2024-12-01,Dec,Q4,2024,Sales,APAC,Core Subscription,SAL-AP-05,107147.32,26261.48,30928.68,3428.71,2797.45,10495.44,111932.81,63801.7,176343.79,39776.63,203343.18
2025-01-01,Jan,Q1,2025,Sales,APAC,Core Subscription,SAL-AP-05,106109.79,27055.07,35410.55,3395.51,2068.49,9163.24,114059.54,65013.94,183407.94,47779.27,204673.89
2025-02-01,Feb,Q1,2025,Sales,APAC,Core Subscription,SAL-AP-05,130324.32,35687.81,38042.97,4170.38,1831.95,12141.89,116226.67,66249.2,223824.05,52759.05,208634.85
2025-03-01,Mar,Q1,2025,Sales,APAC,Core Subscription,SAL-AP-05,116756.83,29126.62,34849.67,3736.22,3797.74,10859.18,118434.97,67507.94,197298.39,46114.52,209464.42
2025-04-01,Apr,Q2,2025,Sales,APAC,Core Subscription,SAL-AP-05,133509.18,35537.88,39235.66,4272.29,3744.54,12172.51,120685.24,68790.59,224179.98,54891.69,210626.93
2025-05-01,May,Q2,2025,Sales,APAC,Core Subscription,SAL-AP-05,117740.33,36855.47,36675.86,3767.69,3724.16,8812.12,122978.26,70097.61,199879.9,50097.61,216951.12
2025-06-01,Jun,Q2,2025,Sales,APAC,Core Subscription,SAL-AP-05,128169.56,27773.84,38723.24,4101.43,3864.02,12889.69,125314.84,71429.46,210461.27,52336.36,225389.82
2025-07-01,Jul,Q3,2025,Sales,APAC,Core Subscription,SAL-AP-05,120031.38,28720.26,38063.03,3841.0,4650.35,10741.62,127695.83,72786.62,202617.93,52798.01,223942.1
2025-08-01,Aug,Q3,2025,Sales,APAC,Core Subscription,SAL-AP-05,125229.09,29487.77,41552.52,4007.33,2803.38,11370.74,130122.05,74169.57,213880.45,53606.3,222903.12
2025-09-01,Sep,Q3,2025,Sales,APAC,Core Subscription,SAL-AP-05,138720.16,38617.43,44168.98,4439.05,4905.86,11181.32,132594.37,75578.79,238840.8,57460.72,226106.72
2025-10-01,Oct,Q4,2025,Sales,APAC,Core Subscription,SAL-AP-05,127513.35,34621.92,37539.02,4080.43,5073.84,11087.55,135113.66,77014.79,204887.54,52386.95,228909.57
2025-11-01,Nov,Q4,2025,Sales,APAC,Core Subscription,SAL-AP-05,145436.58,34218.81,49579.35,4653.97,4535.6,12587.72,137680.82,78478.07,239140.76,68027.38,235481.6
2025-12-01,Dec,Q4,2025,Sales,APAC,Core Subscription,SAL-AP-05,141132.63,32644.2,44251.27,4516.24,4596.22,13229.93,140296.75,79969.15,245577.64,56690.87,230909.62
